Ano;Código da Área;Área de Avaliação;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Nº de Concluintes Inscritos;Nº de Concluintes Participantes;Nº de Concluintes Participantes com nota no Enem;Proporção de Concluintes participantes com nota no Enem;Nota Bruta - IDD;IDD (Contínuo);IDD (Faixa);Observação
2018;2;DIREITO;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pessoa Jurídica de Direito Público - Federal;1;Educação Presencial;5103403;CUIABA;MT;82;72;68;0.944444444;-1,20286;1,74298;2;
2018;13;CIÊNCIAS ECONÔMICAS;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pessoa Jurídica de Direito Público - Federal;2;Educação Presencial;5103403;CUIABA;MT;29;23;23;1;-0,25902;2,21501;3;
2018;38;SERVIÇO SOCIAL;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pessoa Jurídica de Direito Público - Federal;7;Educação Presencial;5103403;CUIABA;MT;32;22;22;1;0,12383;2,56621;3;
2018;22;CIÊNCIAS CONTÁBEIS;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pessoa Jurídica de Direito Público - Federal;8;Educação Presencial;5103403;CUIABA;MT;75;66;65;0.984848485;-0,70374;2,17618;3;
2018;1;ADMINISTRAÇÃO;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pessoa Jurídica de Direito Público - Federal;13;Educação Presencial;5103403;CUIABA;MT;122;101;93;0.920792079;-0,00539;2,54935;3;
2018;22;CIÊNCIAS CONTÁBEIS;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pessoa Jurídica de Direito Público - Federal;21;Educação Presencial;5107602;RONDONOPOLIS;MT;54;49;44;0.897959184;0,62104;2,73208;3;
2018;13;CIÊNCIAS ECONÔMICAS;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;122;Educação Presencial;5300108;BRASILIA;DF;113;92;76;0.826086957;0,51071;2,54088;3;
2018;38;SERVIÇO SOCIAL;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;126;Educação Presencial;5300108;BRASILIA;DF;91;81;72;0.888888889;-0,23003;2,41922;3;
2018;81;RELAÇÕES INTERNACIONAIS;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;128;Educação Presencial;5300108;BRASILIA;DF;158;134;122;0.910447761;-0,26131;2,02567;3;
2018;1;ADMINISTRAÇÃO;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;145;Educação Presencial;5300108;BRASILIA;DF;274;189;136;0.71957672;-0,62755;2,29078;3;
2018;2;DIREITO;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;148;Educação Presencial;5300108;BRASILIA;DF;158;141;124;0.879432624;-0,62943;2,13315;3;
2018;22;CIÊNCIAS CONTÁBEIS;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;149;Educação Presencial;5300108;BRASILIA;DF;97;85;75;0.882352941;0,55091;2,70265;3;
2018;2;DIREITO;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;165;Educação Presencial;5300108;BRASILIA;DF;138;123;97;0.788617886;-0,61951;2,13990;3;
2018;22;CIÊNCIAS CONTÁBEIS;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;167;Educação Presencial;5300108;BRASILIA;DF;174;139;93;0.669064748;-0,47513;2,27211;3;
2018;22;CIÊNCIAS CONTÁBEIS;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pessoa Jurídica de Direito Público - Federal;306;Educação Presencial;2806701;SAO CRISTOVAO;SE;80;75;47;0.626666667;0,77842;2,79812;3;
2018;2;DIREITO;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pessoa Jurídica de Direito Público - Federal;308;Educação Presencial;2806701;SAO CRISTOVAO;SE;140;117;97;0.829059829;-0,01410;2,55183;3;
2018;2;DIREITO;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Pessoa Jurídica de Direito Público - Federal;376;Educação Presencial;1302603;MANAUS;AM;126;109;98;0.899082569;-0,68966;2,09217;3;
2018;38;SERVIÇO SOCIAL;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Pessoa Jurídica de Direito Público - Federal;377;Educação Presencial;1302603;MANAUS;AM;72;62;59;0.951612903;0,21551;2,60429;3;
2018;13;CIÊNCIAS ECONÔMICAS;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Pessoa Jurídica de Direito Público - Federal;378;Educação Presencial;1302603;MANAUS;AM;69;54;49;0.907407407;-0,30998;2,19344;3;
2018;22;CIÊNCIAS CONTÁBEIS;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Pessoa Jurídica de Direito Público - Federal;388;Educação Presencial;1302603;MANAUS;AM;64;52;39;0.75;-0,94502;2,07493;3;
2018;1;ADMINISTRAÇÃO;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Pessoa Jurídica de Direito Público - Federal;392;Educação Presencial;1302603;MANAUS;AM;171;149;130;0.872483221;-0,02226;2,54234;3;
2018;803;JORNALISMO;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Pessoa Jurídica de Direito Público - Federal;395;Educação Presencial;1302603;MANAUS;AM;28;27;27;1;-0,09122;2,46656;3;
2018;22;CIÊNCIAS CONTÁBEIS;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pessoa Jurídica de Direito Público - Federal;490;Educação Presencial;2211001;TERESINA;PI;70;59;54;0.915254237;0,50730;2,68435;3;
2018;2;DIREITO;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pessoa Jurídica de Direito Público - Federal;491;Educação Presencial;2211001;TERESINA;PI;85;78;74;0.948717949;-0,39767;2,29084;3;
2018;13;CIÊNCIAS ECONÔMICAS;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pessoa Jurídica de Direito Público - Federal;492;Educação Presencial;2211001;TERESINA;PI;75;55;44;0.8;0,27785;2,44230;3;
2018;38;SERVIÇO SOCIAL;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pessoa Jurídica de Direito Público - Federal;497;Educação Presencial;2211001;TERESINA;PI;34;30;30;1;-0,61183;2,26062;3;
2018;1;ADMINISTRAÇÃO;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pessoa Jurídica de Direito Público - Federal;500;Educação Presencial;2207702;PARNAIBA;PI;56;50;49;0.98;-0,51345;2,33820;3;
2018;22;CIÊNCIAS CONTÁBEIS;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pessoa Jurídica de Direito Público - Federal;501;Educação Presencial;2207702;PARNAIBA;PI;43;36;36;1;-0,54494;2,24281;3;
2018;13;CIÊNCIAS ECONÔMICAS;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pessoa Jurídica de Direito Público - Federal;502;Educação Presencial;2207702;PARNAIBA;PI;34;31;26;0.838709677;-0,26029;2,21448;3;
2018;2;DIREITO;6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;Universidade;Pessoa Jurídica de Direito Público - Federal;596;Educação Presencial;3146107;OURO PRETO;MG;107;98;92;0.93877551;0,02014;2,57512;3;
