ID,User ID,Product ID,Subtotal,Tax,Total,Discount ($),Created At,Quantity
1508,216,28,R$ 68.12,R$ 2.72,R$ 70.84,,19/04/2020,2
14124,1874,126,R$ 125.24,R$ 6.26,R$ 131.50,,19/04/2020,2
11805,1561,176,R$ 57.92,R$ 2.49,R$ 60.41,,19/04/2020,2
10753,1417,141,R$ 126.20,R$ -,R$ 126.20,,19/04/2020,4
4148,576,130,R$ 75.03,R$ -,R$ 75.03,,19/04/2020,2
111,17,56,R$ 36.37,R$ -,R$ 36.37,,19/04/2020,3
16122,2148,195,R$ 109.78,R$ 4.64,R$ 114.42,,19/04/2020,2
11135,1473,12,R$ 116.01,R$ 6.38,R$ 122.39,,19/04/2020,4
9829,1300,90,R$ 123.12,R$ 8.00,R$ 131.12,,19/04/2020,2
2238,311,107,R$ 50.09,R$ 3.01,R$ 53.10,,18/04/2020,3
3843,538,149,R$ 69.15,R$ 3.46,R$ 72.61,,18/04/2020,2
7345,1000,56,R$ 36.37,R$ 2.27,R$ 38.64,,18/04/2020,4
10774,1421,154,R$ 81.88,R$ 5.32,R$ 87.20,,18/04/2020,3
9968,1317,90,R$ 123.12,R$ 7.39,R$ 130.51,,18/04/2020,3
4523,627,173,R$ 122.37,R$ 8.38,R$ 130.75,,18/04/2020,3
3837,538,198,R$ 70.15,R$ 3.51,R$ 73.66,,18/04/2020,2
13937,1844,196,R$ 70.15,R$ 2.96,R$ 73.11,,18/04/2020,3
14141,1876,130,R$ 75.03,R$ 3.17,R$ 78.20,,18/04/2020,4
16840,2244,2,R$ 105.12,R$ 4.20,R$ 100.79,R$ 8.53,18/04/2020,3
14046,1858,14,R$ 37.65,R$ 2.45,R$ 33.63,R$ 6.47,18/04/2020,2
5386,724,24,R$ 112.31,R$ 6.74,R$ 119.05,,18/04/2020,2
16307,2172,126,R$ 125.24,R$ 6.26,R$ 131.50,,18/04/2020,3
17788,2367,55,R$ 95.77,R$ 3.83,R$ 99.60,,18/04/2020,2
15134,2035,171,R$ 105.08,R$ 6.30,R$ 111.38,,18/04/2020,1
12416,1637,89,R$ 63.72,R$ 2.69,R$ 66.41,,18/04/2020,3
11012,1453,55,R$ 95.77,R$ 4.05,R$ 99.82,,18/04/2020,4
7257,983,195,R$ 109.78,R$ 4.64,R$ 114.42,,18/04/2020,4
16005,2135,128,R$ 75.08,R$ 3.00,R$ 78.08,,18/04/2020,3
18719,2496,57,R$ 122.42,R$ 3.55,R$ 125.97,,18/04/2020,3
9415,1249,88,R$ 105.41,R$ 6.59,R$ 108.17,R$ 3.83,18/04/2020,3
9612,1274,118,R$ 57.63,R$ 4.03,R$ 61.66,,18/04/2020,2
1103,150,129,R$ 148.17,R$ 8.89,R$ 157.06,,18/04/2020,3
3235,458,194,R$ 50.38,R$ 2.02,R$ 52.40,,17/04/2020,2
8807,1177,52,R$ 103.68,R$ 5.18,R$ 108.86,,17/04/2020,3
6301,857,107,R$ 50.09,R$ 2.50,R$ 52.59,,17/04/2020,3
12700,1678,175,R$ 117.32,R$ 6.75,R$ 124.07,,17/04/2020,3
12295,1619,178,R$ 117.33,R$ 6.01,R$ 123.34,,17/04/2020,2
9339,1240,195,R$ 109.78,R$ 8.23,R$ 118.01,,17/04/2020,3
13038,1721,39,R$ 114.58,R$ 6.87,R$ 121.45,,17/04/2020,3
12871,1703,192,R$ 69.18,R$ 4.50,R$ 73.68,,17/04/2020,2
15350,2058,58,R$ 78.15,R$ 3.13,R$ 81.28,,17/04/2020,2
13628,1800,5,R$ 124.12,R$ 6.21,R$ 130.33,,17/04/2020,4
14855,1981,184,R$ 116.10,R$ 8.13,R$ 124.23,,17/04/2020,2
6637,907,183,R$ 56.70,R$ 2.40,R$ 59.10,,17/04/2020,2
5237,706,91,R$ 65.09,R$ -,R$ 65.09,,17/04/2020,2
3689,521,56,R$ 36.37,R$ -,R$ 32.60,R$ 3.77,17/04/2020,3
11931,1581,181,R$ 143.89,R$ 5.76,R$ 149.65,,17/04/2020,4
18271,2430,49,R$ 131.43,R$ 3.81,R$ 135.24,,17/04/2020,2
13774,1825,160,R$ 47.59,R$ -,R$ 47.59,,17/04/2020,4
4046,561,157,R$ 139.89,R$ -,R$ 139.89,,17/04/2020,4
18051,2394,200,R$ 73.20,R$ 4.39,R$ 77.59,,17/04/2020,3
2460,338,99,R$ 67.83,R$ 5.09,R$ 72.92,,17/04/2020,3
14195,1882,121,R$ 40.45,R$ -,R$ 40.45,,16/04/2020,4
3559,504,156,R$ 30.62,R$ 1.84,R$ 32.46,,16/04/2020,2
11140,1473,43,R$ 76.35,R$ 4.20,R$ 80.55,,16/04/2020,3
18057,2394,23,R$ 116.87,R$ 7.01,R$ 123.88,,16/04/2020,3
18015,2392,66,R$ 136.16,R$ 6.13,R$ 142.29,,16/04/2020,3
14501,1929,7,R$ 148.23,R$ 6.67,R$ 154.90,,16/04/2020,3
2678,375,175,R$ 117.32,R$ -,R$ 117.32,,16/04/2020,3
12035,1590,176,R$ 57.92,R$ 3.62,R$ 61.54,,16/04/2020,3
12826,1696,197,R$ 70.15,R$ 4.91,R$ 75.06,,16/04/2020,3
1972,275,8,R$ 98.84,R$ 4.94,R$ 101.55,R$ 2.22,16/04/2020,3
7997,1073,162,R$ 33.57,R$ 2.31,R$ 32.26,R$ 3.62,16/04/2020,4
18211,2417,105,R$ 52.72,R$ 1.53,R$ 54.25,,16/04/2020,3
2621,360,165,R$ 38.30,R$ 1.62,R$ 39.92,,16/04/2020,3
16037,2138,43,R$ 76.35,R$ 4.58,R$ 80.93,,16/04/2020,2
15730,2110,123,R$ 110.93,R$ -,R$ 110.93,,16/04/2020,2
3435,490,149,R$ 69.15,R$ 4.39,R$ 73.54,,16/04/2020,2
4006,558,178,R$ 117.33,R$ 4.69,R$ 122.02,,16/04/2020,3
12354,1628,65,R$ 68.23,R$ 3.92,R$ 72.15,,16/04/2020,2
16741,2224,126,R$ 125.24,R$ 7.83,R$ 133.07,,15/04/2020,2
10285,1352,123,R$ 110.93,R$ 6.66,R$ 117.59,,15/04/2020,2
14185,1881,29,R$ 123.57,R$ 5.22,R$ 128.79,,15/04/2020,4
11887,1573,149,R$ 69.15,R$ 2.77,R$ 71.92,,15/04/2020,3
8738,1165,121,R$ 40.45,R$ 2.02,R$ 42.47,,15/04/2020,3
8767,1170,16,R$ 66.11,R$ 2.84,R$ 68.95,,15/04/2020,1
5748,784,94,R$ 109.22,R$ 4.37,R$ 113.59,,15/04/2020,4
5156,697,45,R$ 118.05,R$ 7.08,R$ 125.13,,15/04/2020,3
719,91,28,R$ 68.12,R$ 4.26,R$ 72.38,,15/04/2020,4
3420,488,116,R$ 114.42,R$ 6.58,R$ 114.42,R$ 6.58,15/04/2020,2
13737,1816,13,R$ 112.63,R$ -,R$ 112.63,,15/04/2020,3
12797,1694,94,R$ 109.22,R$ 5.46,R$ 114.68,,15/04/2020,4
10432,1377,38,R$ 66.07,R$ 4.62,R$ 70.69,,15/04/2020,3
16208,2161,121,R$ 40.45,R$ 1.62,R$ 42.07,,14/04/2020,3
782,101,106,R$ 52.72,R$ 2.23,R$ 54.95,,14/04/2020,2
14053,1859,132,R$ 127.88,R$ 5.12,R$ 133.00,,14/04/2020,2
14294,1902,141,R$ 126.20,R$ -,R$ 126.20,,14/04/2020,3
5897,799,177,R$ 128.82,R$ 6.44,R$ 135.26,,14/04/2020,1
15656,2099,97,R$ 112.42,R$ 5.62,R$ 118.04,,14/04/2020,3
10634,1395,4,R$ 110.99,R$ 4.77,R$ 115.76,,14/04/2020,3
13123,1732,70,R$ 57.49,R$ 4.02,R$ 61.51,,14/04/2020,2
5349,718,77,R$ 101.02,R$ 5.05,R$ 106.07,,14/04/2020,2
7810,1058,121,R$ 40.45,R$ 2.02,R$ 41.38,R$ 1.08,14/04/2020,2
8337,1118,195,R$ 109.78,R$ 6.59,R$ 116.37,,14/04/2020,2
7084,962,176,R$ 57.92,R$ 3.48,R$ 61.40,,14/04/2020,3
8359,1121,61,R$ 23.54,R$ 1.18,R$ 24.72,,14/04/2020,3
9691,1287,127,R$ 134.48,R$ 8.41,R$ 142.89,,14/04/2020,3
4954,673,70,R$ 57.49,R$ 3.45,R$ 60.94,,14/04/2020,3
12258,1613,168,R$ 118.93,R$ 3.45,R$ 122.38,,14/04/2020,4
9186,1227,137,R$ 67.77,R$ 2.71,R$ 70.48,,14/04/2020,4
10550,1389,99,R$ 67.83,R$ 4.07,R$ 71.90,,14/04/2020,3
14747,1968,96,R$ 104.82,R$ -,R$ 104.82,,14/04/2020,3
13104,1727,159,R$ 35.53,R$ 1.69,R$ 30.60,R$ 6.62,14/04/2020,2
18292,2434,147,R$ 66.65,R$ 4.33,R$ 70.98,,14/04/2020,4
13470,1776,165,R$ 38.30,R$ 2.68,R$ 40.98,,13/04/2020,3
5494,750,108,R$ 50.09,R$ 2.00,R$ 52.09,,13/04/2020,3
489,65,181,R$ 143.89,R$ 5.76,R$ 149.65,,13/04/2020,33
13529,1784,117,R$ 55.02,R$ 3.30,R$ 58.32,,13/04/2020,4
3840,538,17,R$ 79.94,R$ 4.00,R$ 83.94,,13/04/2020,2
13905,1840,73,R$ 71.63,R$ 4.30,R$ 73.21,R$ 2.72,13/04/2020,3
1008,140,13,R$ 112.63,R$ 4.51,R$ 117.14,,13/04/2020,3
3258,459,136,R$ 105.20,R$ 6.31,R$ 111.51,,13/04/2020,1
16233,2167,179,R$ 68.32,R$ 4.10,R$ 72.42,,13/04/2020,1
417,58,26,R$ 68.12,R$ 4.09,R$ 72.21,,13/04/2020,3
